ID,Description,Entry_ID,Anthropology_Note,Grammar_Note,Scientific_Name,Sociolinguistics_Note
SN000019,rest lying down,LX000014,,,,"Probably a <[Naamuutújuri](LX002169)> dialect form used by ELY’s elder family members; this form has been replaced in ELY’s own speech by the forms <[samáraatáani](LX002706)> ‘rest’ and <[makɨ́ɨni](LX001685)> ‘sleep’, which are in wider use in San Antonio"
SN000020,"die, euphemistic way of referring to the death of an individual",LX000014,,,,This euphemistic use is also a <[Naamuutújuri](LX002169)> dialect feature
SN000021,"traditional type of mashing and grinding tool, typically used in conjunction with the <[ájana](LX000007)> (‘batán’) mashing trough; it consists of a heavy and thick rectangular piece of wood, roughly 40-50cm in width and 25-30cm in height, with stubby handles extending horizontally from the upper corners. This tool is employed by lifting the grinder by one handle and then driving it down with force, then doing the same with the other handle, in a rhythmic, rocking fashion. Most commonly used to mash cooked manioc in the preparation of manioc beer, it is also used to grind harder substances, such as toasted corn and, traditionally, salt, which was most commonly available to Iquitos as hard blocks",LX000015,,,,
SN000022,land (boat on shore),LX000016,,,,
SN000023,alight (bird),LX000016,,,,
SN000024,"husband, affectionate vocative term used by a wife to address her husband",LX000017,,Referential counterpart: <níyaaka>,,
SN000025,"strong sun or sunlight, said of the strong light and heat from the sun, e.g, as is typical of a cloudless day near the equator, as opposed to the celestial body as such (<[nunamija](nunamija)>)",ajaana,,,,
SN000026,"bright, sunny, clear weather, or a day with such weather. In Iquito territory, such days often become so hot by noon that working outside is arduous",ajaana,,,,
SN000027,"dry season; a period of relatively infrequent rains, characterized by an abundance of sunny weather and dropping or low rivers",LX000018,,,,
SN000028,"grind or mash, using an <[ajátaari](LX000015)>",LX000019,,,,
SN000029,"woman’s husband’s mother, husband’s father, and son’s wife; kinship term used by female ego for core collateral kin with the exception of her son-in-law",aji,,Poss.pref,,
SN000030,"a comparatively slender part of an object that branches off, typically at an acute angle, from the larger object of which it is a part, e.g., a branch that branches off from the trunk of a tree",LX000020,,Poss.pref,,
SN000031,"an affluent or tributary of a river, identified as such by its comparatively lower volume of water flow than the river it joins",LX000020,,Poss.pref,,
SN000032,"break open a fork-shaped object by forcing the two parts apart at the point where they join, e.g., break off a tree branch at the point where it joins the trunk, or break a person’s fingers by forcing them apart",LX000021,,,,
SN000033,"finger, toe",LX000022,,,,
SN000034,"branch off, speaking of a part of something that branches off the main body, e.g., a branch that grows from a trunk, or a tributary that branches off from a larger river",LX000023,,,,
SN000035,"a section of manioc stalk, cut in preparation for planting. Manioc propagates from sections of cut manioc stalk, which Iquitos cut to a length of about 30cm for planting purposes; the action of planting, <[ajiráani](LX000028)>, involves thrusting the stalk many inches into the soil, at an oblique angle",LX000024,,,,
SN000036,"‘mazo’, a wooden pestle-like implement, some 75cm to 1m in length, with a relatively large rounded head at one end, used for mashing foods, especially cooked manioc in the preparation of manioc beer mash",LX000025,,,,
SN000037,"‘tacarpear’, or make multiple holes in the ground for seeds, using a sharpened stick",LX000026,,,,
SN000038,"stab or pierce with a sharp object, said of, e.g., stabbing a person with a knife, piercing the body of an animal with a spear, or making a hole in the ground with a sharpened stick in order to sow seeds",LX000027,,"This verb does not entail that the stabbing instrument remains held by its user, so can be used both, for example, for a thrown spear, and a spear that remains held by its user",,
SN000039,"crush into a pulp or mash with a relatively slender tool with a roughly circular cross-section, e.g., a pestle",LX000027,,"When the object is wholly affected by the action denoted by the verb, e.g., when it is mashed to a pulp, the object takes no special marking; however, when the object is only partially affected, e.g., when an animal is stabbed with a lance, the object takes the locative postposition <=jina>",,
SN000040,"peck, strike something with a beak or a beak-like snout, said of birds and certain species of fish",LX000027,,,,
SN000041,"beat or pulse, said of the beating of a heart or the pulsing in veins",LX000028,,,,
SN000042,masher,LX000029,,,,
SN000043,"seat of any type, be it a chair, bench, or traditional low stool. The traditional Iquito stool was about 50cm wide and 30cm deep, made of a single block of typically heavy wood, and stood 20-30cm high, with stubby legs about 5cm in height. It was generally undecorated, except for a knob, carved to look like a turtle’s head, that was sometimes placed on one of the narrow sides, to use as a handle for moving it",LX000030,,,,
SN000044,"be seated or sitting on any kind of surface, speaking both of living beings, such as humans, dogs, and birds, and of inanimate objects with broad flat bases, such as cooking pots",LX000031,,,,
SN000045,"obtain a daughter-in-law, speaking of a woman",LX000032,,,,
SN000046,"obtain a parent-in-law, speaking of a woman",LX000032,,,,
SN000047,"‘churo’ or Giant Applesnail, a species of edible aquatic snail with a dark round shell that typically reaches some 7cm in diameter; in Iquito territory, these prized mollusks are found only in creeks that drain from areas with clayey soils, <[tipáaka](LX003320)>. The most forms of common bait used to attract them are the leaves of the <[ujii](ujii)> tree and manioc peels, and they are captured individually by hand",ajuuka,,,Pomacea maculata,
SN000048,labia minora of the vagina,LX000033,,Poss.pref,,
SN000049,middle,LX000034,,,,
SN000050,half,LX000034,,,,
SN000051,middle part or midpoint of an object that is saliently extended along one dimension,LX000035,,The default form of this locative noun is <akájinaku>. Poss.pref,,
SN000052,half of something,LX000036,,Poss.pref,,
SN000053,at or on the middle part or mid-point,LX000037,,The default form of this locative postposition is <akájinaku>,,
SN000054,"in the middle of, at the midpoint of, speaking of the midpoint of a line that crosses perpendicular to the axis of greatest length of something that is comparative long and slender, e.g., the midpoint of a line that crosses a river from one bank to the other",LX000038,,,,
SN000055,"waist, typically of a person",LX000039,,Poss.pref,,
SN000056,"the middle of an entity that is roughly cylindical in shape, e.g., a tree or a tube, speaking of the entire diameter of the entity at approximately the midpoint between its two extrema",LX000039,,Poss.pref,,
SN000057,"across, for a figure to be in contact with the ground and be perpendicular to the axis of greatest length of the ground object, without the requirement that the figure contact the edges of the ground; e.g., for a stick lie across a path, without its ends reaching the edge of the path",LX000040,,,,
SN000058,"around, for a figure to be in contact with a considerable section of the circumference of an object that is saliently extended in a single dimension, e.g., a rope tied around a tree trunk",LX000040,,,,
SN000059,kidney,LX000041,,Poss.pref,,
SN000060,spine or spinal column,LX000042,,Poss.pref,,
SN000061,focused form of the anaphoric upriver deictic spatial adverb <[kami](kami)>,akami,,,,
SN000062,focused form of the anaphoric vertically superior deictic spatial adverb <[kami](kami)>,akami,,,,
SN000063,heart,LX000043,,Poss.pref,,"This term is considered archaic, with the loanword <kuurasuu> more commonly used now"
SN000064,groin,LX000044,,,,
SN000065,groin,LX000045,,Poss.pref,,
SN000066,"have a characteristic posture in which the butt sticks out to an unusual degree, while the torso protrudes in the opposite direction",LX000046,,,,
SN000067,"species of ‘macana’-type fish that reaches some 20cm in length, with alternating transverse black and white stripes",LX000047,,,,
SN000068,species of ‘macana’-type fish,LX000048,,,,
SN000069,"juvenile, a life stage of any animal or plant species, being no longer a pup, fledgling, sprout, etc., but not yet a mature adult",LX000049,,"The species to which the juvenile form pertains is expressed as the possessor of this noun, e.g., <pɨsɨkɨ ákati> ‘juvenile tapir’. Poss.pref",,
SN000070,"branch of any size, from the large branch of a tree to the analogous structure on a tiny plant",aki,,"When possessed, this root is underlyingly assigned a possessive constructional HLL melody. However, when singular, (i.e., <aki>), the stem is too short for the constructional tone to be realized, and the root surfaces as toneless. When plural, however, the stem is trimoraic, and the constructional tone can surface (i.e., <ákika>). Poss.pref",,
SN000071,"branch, tributary, or affluent of a river",aki,,Same as above. Poss.pref,,
SN000072,remove a branch by cutting or breaking it off,LX000050,,,,
SN000073,"branchy, for a tree to have branches growing from low on its trunk, unlike most trees in the rainforest, whose trunks have few or no branches until their crown",LX000051,,,,
SN000074,"break off, speaking of a branch coming off of a tree",LX000052,,,,
SN000075,"grow a branch, form one or more forks by growing branches",LX000053,,,,
SN000076,wind or breeze,LX000054,"It is said that Iquitos traditionally believed that the first blast of a strong wind brought the <[imɨ́ɨni](LX000653)> (‘madre’, spirit) of the wind, and that children exposed to this wind would be ‘taken’ (<akíraja irírɨɨ nuu>) and contract severe diarrhea as a result; for this reason, shamans would warn their neighbors to take their children inside when they perceived a strong wind coming",mass noun,,
SN000077,unfertilized egg,LX000055,"An explanation given for this term is that Iquitos traditionally said it was the wind, rather than a rooster, that had mated with a hen when it produced unfertilized eggs",,,
SN000078,"blow strongly, of wind",LX000056,,,,
SN000079,"blow continuously and strongly, of wind",LX000057,,,,
SN000080,"a clear, open area in a forest that results when a large tree falls",LX000058,,The default form of this locative noun is <akiriítajina>,,
SN000081,clear area (due to tree fall),LX000059,,,,
SN000082,father,LX000060,,Poss.pref,,"Historically, this was the sole referential term for ‘father’; more recently, the historical vocative term, <[kaakɨ́ɨja](LX001393)>, has come to be used referentially, such that <[akɨ](LX000060)> is now uncommon in everyday speech"
SN000083,"“aargh!”, a conventionalized cry of severe pain",LX000061,,,,
SN000084,"“aargh!”, a conventionalized self-pitying cry of severe pain",LX000062,,,,
SN000085,"evil spell, the magical element by which malevolent shamans caused harm to their victims. In narratives, often depicted as propelled towards the victim by a special type of blowing, <[aruukíini](LX000317)>; possibly drawing on beliefs of neighboring indigenous groups, elderly Iquito speakers sometimes describe these elements as darts imbued with harmful power by the shaman",LX000063,,,,
SN000086,evil spell (plural),LX000064,,,,
SN000087,"“ah!”, a conventionalized cry of pain uttered in traditional Iquito stories at the moment of death by wounding, e.g., when receiving a fatal thrust from a spear",LX000065,,,,
SN000088,"maternal uncle; referential term for mother’s brother, male or female ego",LX000066,,Vocative counterpart: <akúmaaja>. Poss.pref,,
SN000089,"owner of a material object, e.g., a house or canoe, or a portion of land",LX000067,,Poss.pref,,
SN000090,"leader or organizer of a collaborative activity, e.g., <sirúuni akúmari>, ‘barbasco’-fishing organizer",LX000067,,Poss.pref,,
SN000091,"take possession of an object, or make oneself the owner of an object, depriving another person of its possession against their will",LX000068,,,,
SN000092,"vocative term for maternal uncle; mother’s brother, male or female ego",LX000069,,Referential counterpart: <ákuma>,,
SN000093,"marriage party; in traditional Iquito society, when a couple wished to be recognized as a committed pair by the rest of the community, manioc beer was made, typically by the new wife’s mother, and meat and fish provided, typically by the new wife’s father, and a party was organized to which everyone was invited; the holding of this party constituted the rite by which a pair came to be seen as a married pair",LX000070,,,,
SN000094,the manioc beer prepared for a marriage party,LX000070,,,,
SN000095,"take a woman as a romantic partner or wife, said of men",LX000071,,The subject of this verb is obligatorily masculine,,
SN000096,mother-in-law of male ego,LX000072,,Poss.pref,,
SN000097,"obtain a mother-in-law, speaking of a man",LX000073,,The object of this verb is the woman who is becomes the mother-in-law of the subject of the verb,,
SN000098,deceased maternal uncle,LX000074,,Poss.pref,,
SN000099,"common earthworm, pinkish in color",LX000075,,,,
SN000100,species of earthworm,LX000076,,,,
SN000101,"peduncle, the part of any fruit or tuber by which it is connected to the larger plant of which it is a part; this term applies both to any cap associated with the fruit or tuber, and to any segment of stem that remains when the fruit or tuber is separated from the plant",akusi,,Poss.pref,,
SN000102,"‘ayahuasca’ song; a type of song sung principally while under the influence of <[aákuta](LX000465)> (‘ayahuasca’). Such songs pertained to individuals, with each person eventually developing their own unique song; it was traditionally understood that each person received their song from the <aákuta imɨ́ɨni>, i.e., the ‘madre’ or spirit of the ‘ayahuasca’",akutuuyuukami,,,,
SN000103,woman’s son-in-law; kinship term used by female ego for her daughter’s husband,LX000077,,Poss.pref,,
SN000104,"man’s father-in-law, brother-in-law and son-in-law; kinship term used by male ego for core male collateral kin: his wife’s father, wife’s brother, sister’s husband, and daughter’s husband",LX000077,,Poss.pref,,
SN000105,"obtain a male in-law, speaking of a man, i.e., a brother-in-law or a father-in-law",LX000078,,The object of this verb is the man who is becomes an in-law of the subject of the verb,,
SN000106,"‘cogollo’ or terminal bud of a palm, the soft and immature palm fronds that have yet to emerge from the top of a palm trunk; due to their pliability, Iquitos traditionally used these as a source of materials for a variety of products",amaki,,Poss.pref,,
SN000107,"budding leaf thats grow at the tip of a branch, twig, or vine, speaking of the place where the plant part is growing in length",amaki,,Poss.pref,,
SN000108,"path, trail, or road. This term was traditionally used for forest paths and trails, but has been extended in to include roads and highways",LX000079,,,,
SN000109,"an absence or empty space that was formerly occupied by something or someone; it may be something that was stationary in that position for a long time, e.g., the empty space formerly occupied by a piece of furniture; or something that was in the relevant location only momentarily, due to it being in motion through the space in question; this term is also used to refer to the absence left when someone dies",LX000080,,"The default form of this locative noun is <amákɨjina>; empty spaces that have a cavity-like shape, such as footprints, or the empty space left by something being removed, e.g., a pot, are denoted by the form <amákɨma>. Poss.pref",,
SN000110,"impression, imprint, print, or trace left by something that formerly occupied a space, e.g., the mark left by someone lying in tall grass, a footprint, or the hole left in something struck by a spear, after it has been removed",LX000080,,,,
SN000111,"pointless or useless place, speaking of hunting and fishing in a particular location, due to the fact that animals or fish will not be found there; note that the this usage applies solely to fishing and hunting, and cannot be applied to the gathering of plants or the success of more abstract activities (e.g., going to university to obtain a good job)",LX000080,,,,
SN000112,general term for crabs,LX000081,,,,
SN000113,early-planted manioc,LX000082,,,,
SN000114,"manioc plants, typically few in number (e.g., a single armful of manioc stalk cuttings), that were traditionally planted as soon as possible after a garden plot was cleared, before it was systematically planted, typically by means of a collaborative planting party (<[natɨ́yaaka](LX002129)>)",LX000083,"This early planting was motivated by the belief that if a recently-burned plot were left unplanted for more than a few days, then the manioc planted there would not develop large tubers; this delay would allow crabs to visit the plot, and if they did so, manioc tubers would have the slender shape of crab legs, rather than the desired bulbous shape. Planting these early manioc cuttings was referred to as ‘planting one’s crabs’, e.g., <kí=nataa kw=amákɨɨja> ‘I’m planting my crabs’",,,
SN000115,"make a path; cut a new path through a forested area, including the process of only cutting the tops of plants to mark the path, making it possible to pass but not clearing the path down to the ground",LX000084,,,,
SN000116,"in preparation for, or in anticipation of, an absence from a place, typically when a person goes on a trip",LX000085,,,,
SN000117,"clear a path to one or more standing or felled trees, in order to both claim ownership and facilitate extraction, either of the trees, e.g., as in logging, or of products related to them, e.g., as in rubber-tapping",LX000086,,"This root does not apply to the more general case of clearing a path to a location, which is instead expressed with the verb <amakɨ́ɨni> and a suitable postpositional phrase",,
SN000118,"‘tornillo’ or ‘huayra caspi’, species of red hardwood tree that grows in a wide variety of soil types. It grows up to 2m in diameter and is highly valued as timber. Its bark was formerly used to make a bath to treat measles",LX000087,,,Cedrelinga cataneiformis,
SN000119,"pound or pulp <[nuúruu](LX002376)>, ‘barbasco’ roots, so as to release their poisonous milky fluid, which is used as a fishing technique",LX000088,,,,
SN000120,"‘mañachear’ or ‘hacer mañacheo’, fish with <[nuúruu](LX002376)>, ‘barbasco’, in a small body of water, typically a small creek. Stemming from the metonymical use of the previous sense, in this sense the verb denotes the entire process of pulping the <[nuúruu](LX002376)>, diffusing the liquid in the body of water, and collecting the stunned fish",LX000089,,,,
SN000121,"pat or tap, repeatedly strike something gently, e.g., patting a baby on the back with one’s palm to encourage it to sleep, or absentmindedly tapping a pencil against a tabletop",LX000090,,,,
SN000122,"beat a person or animal repeatedly with an instrument, e.g., a spear or stick, until they are grievously injured or dead",LX000091,,,,
SN000123,"hit or strike repeatedly with an appropriate instument, e.g., strike a drum repeatedly with a drumstick, strike a nail repeatedly with a hammer",LX000092,,,,
SN000124,applaud,LX000092,,This sense must take a possessed form of <kurika> ‘hand’ as its object,,
SN000125,"hit or strike an entity repeatedly against something else, especially a hard surface such as the ground, either in order to damage or alter it; to break it open, e.g., a fruit with a hard shell; or, in the case of a wounded animal, to kill it",LX000093,,,,
SN000126,"flap or flutter wings rapidly, said of bird species with relatively fast wing flapping tempos, such as hummingbirds",LX000093,,,,
SN000127,"kill multiple entities, typically said with respect to multiple game animals killed on a single hunting trip",LX000094,,The object of the verb is obligatorily plural,,
SN000128,"flash or raise the eyebrows twice or thrice; for Iquito speakers, this is stereotypically a gesture made by young men towards women in whom they are romantically interested",LX000095,,,,
SN000129,Peach Palm (plural),amari_1,,,,
SN000130,grove of ‘pijuayo’ palms;,amari_2,,,,"Although historically this was simply the plural form of <[amariyaaja](amariyaaja)>, it is now partially merged with <[amarijina](amarijina)> (‘pijuayal’) ‘a grove of (‘pijuayo’) palms’, presumably because the most common circumstance in which one talks of multple (‘pijuayo’) palms is in relation to such groves. Speakers thus gloss <[amari](amari_2)> as both the plural of <[amariyaaja](amariyaaja)> and as synonymous with <[amarijina](amarijina)>"
SN000131,"‘pijuayal’, a grove of <[amariyaaja](amariyaaja)>, ‘pijuayo’ palms",amarijina,,,,See Note under <[amari](amari_2)>
SN000132,"be jealous, feel jealous about",LX000096,,,,
SN000133,"‘chicha de pijuayo’ o ‘masato de pijuayo’, fermented beverage made from cooked <[amariyaaja](amariyaaja)> (‘pijuayo’) palm fruits; it is prepared in a manner very similar to <[itíniija](LX000800)>, manioc beer",LX000097,,,,
SN000134,"‘pijuayo’ or Peach Palm, species of palm of great traditional importance. Its savory, oily fruits were important as a source of solid food and also served as the base for a rich fermented beverage, <[amarisiáaka](LX000097)>, while the wood from its trunk, which is covered with sharp spines, was used to make spears (<[juwáana](LX001212)>) and knives (<[paaniiwɨ](LX002445)>)",amariyaaja,"According to Iquito oral tradition, this palm was first brought to the Iquito people by a trio of shamans who flew far into the east to discover where the sun came from, where they encountered a jealous spirit who hoarded the palms for itself. By trickery, the shamans liberated some of the fruits, from which all <[amariyaaja](amariyaaja)> in Iquito territory have descended",,Bactris gasipaes,
SN000135,grove of ‘pijuayo’ palms,amariyaajina,,,,
SN000136,"season in which <[amariyaaja](amariyaaja)> (‘pijuayo’ palm) fruits are ripe, which peaks in February and March in Iquito territory",amariyaana,,,,
SN000137,"year, measured from one <[amariyaaja](amariyaaja)> (‘pijuayo’ palm) season to the next",amariyaana,,"When preceded by a quantifying element, such as <nuúkiika> ‘one’, <kuumi> ‘two’, <jɨɨ́timi> ‘some’,or <taana> ‘other’, this word exhibits the alternant <amáriyaana>, whose tone pattern is identical to the pattern that would surface if this were a possessive alternation; note also that there is no distinct plural form (i.e., there is no form <amáriyaami>)",,
SN000138,‘pijuayo’ palm season,LX000098,,,,
SN000139,year,LX000098,,,,
SN000140,"general term for ‘zúngaros’, a class of generally quite large catfishes of the Pimelodidae family, and especially the striped or mottled species of the genus Pseudoplatystoma, also often called ‘doncella’ in regional Spanish. These catfish can reach 2m or more in length, with long flat heads, and they are prized for the fact that their flesh has few bones",amariiki,,,Pseudoplatystoma spp,
SN000141,"emit a high-pitched sustained whistle-like call, said especially of tapirs, but also of certain parrots, such as <[nɨɨrɨsɨ́wɨɨja](LX002338)>",LX000099,,,,
SN000142,behind,LX000100,,,,
SN000143,"‘amasisa’, species of tree known for thriving in a variety of soil types; it reaches up to 30cm in diameter and its trunk is covered with broad thorns which come off fairly easily. The underside of the bark, which also can be stripped off fairly easily, oozes a slimy substance which is used to cure <[muúkwaayɨ ítuuja](LX001964)>, ‘rainbow burn’, (‘quemadura de arco iris’) and ‘interior fevers’; the substance is combined with mud and the mixture is applied to the sides of the torso",LX000101,,,Erythrina fusca,
SN000144,"with strength, force, intensity, or energy, speaking of the realization of some action, activity, or state",LX000102,,,,
SN000145,"strong, in the sense of having the ability to exert force in a physical or metaphorical sense; but not, e.g., being hard or tough",LX000103,,,,
SN000146,"open up something that closes or is closed by drawing together a covering layer at one extremal point, e.g., a closed flower, a closed young palm frond (‘cogollo’), certain fruit pods, a cloth bundle, a braid, or a ‘juane’ (leaf-wrapped dumpling dish), by pulling open the outer covering at the point at which it comes together",LX000104,,,,
SN000147,"open up, speaking of an object that closes or is closed by drawing together a covering layer at one extremal point, e.g., a closed flower, certain fruit pods, or the <[amaki](amaki)> (‘cogollo’) of a ‘chambira’ (<[nɨɨ́kamɨ](LX002322)>) palm",LX000105,,,,
SN000148,"“oh!”, “wow!”, mirative interjection that expresses surprise upon learning something or upon witnessing something transpire",amaa,,,,
SN000149,"vocative term for paternal great-uncle; father’s father brother, male or female ego",LX000106,,Referential counterpart: <kumáani>,,
SN000150,"general vocative term used for uncles (maternal or paternal), or any adult male of one’s parents’ generation or older to whom one wishes to refer to with respect and affection",LX000106,"traditionally there was a very warm relationship between a father’s brother and his nephews and nieces, and in the context of this relationship the latter often used this term instead of the more specific vocative terms for uncles (i.e., <[akúmaaja](LX000069)> ‘maternal uncle (vocative)’ and <[paatíija](LX002467)> ‘paternal uncle (vocative)’)","Referential counterparts:{\iqt, akuma, kumáani}",,
SN000151,"pole; a slender tree trunk, generally straight and trimmed of bark, prototypically measuring some 10-15cm in diameter, but sometimes reaching up to 25cm in diamter",amaaka,,,,
SN000152,lower jaw,LX000107,,,,
SN000153,"calm someone down who is angry, argumentative, or violent",LX000108,,,,
SN000154,manioc plant (plural),LX000109,,,,
SN000155,"manioc plant, speaking of the entire manioc plant, including tubers, stalk, branches, and leaves",LX000110,,,,
SN000156,a segment of manioc stalk cut to the size and for the purpose of planting,LX000110,,,,
SN000157,"‘cascabel’, juvenile form of the South American Lancehead or Fer-de-Lance (<[sajina](sajina)>). It has a gray-brown mottled coloring similar to the adult form, but is distinguished from the latter by its pale tail-tip. Highly venomous, like adults of this species, they are widely considered in Peruvian Amazonia to be a distinct species from their adult counterparts",LX000111,,,Bothrops atrox (juvenile),
SN000158,"open up something slit-like, e.g., book, a crack, a bundle, or the incision made in a game animal",LX000112,,,,
SN000159,"strip off the soft flexible part of <[nɨɨ́kamɨ](LX002322)> (‘chambira’ palm) leaves from the more rigid central shaft of the tender leaves of their <ámaki> (‘cogollos’, palm frond buds), as part of the task of making ‘kanuu’ (‘chambira’ palm fiber), which is then used to make <kanuu íniyɨ> (‘chambira’-fiber cord)",LX000113,,,,
SN000160,"tear something lengthwise along a natural line of weakness; the prototypical case is tearing off the bark of suitable tree species in long strips to serve as a tumpline or provisional rope, but it also applies to tearing cloth along a seam, tearing a piece of split wood apart along its grain, or tearing open the thorax of an animal whose skin one has cut and ribs broken for this purpose",LX000114,,,,
SN000161,purse the lips or smile without showing the teeth,LX000115,,,,
SN000162,"be asymmetrical or uneven, speaking especially of vessels and faces, e.g., a vessel with one side lower than the other, or a person whose smile is pulled to one side",LX000116,,,,
SN000163,"have an age-worn face, prototypically with wrinkles, age spots, and shrunken lips",LX000116,,,,
SN000164,"frown, grimace, make a face, or otherwise exhibit a peculiar facial expression, whether due to mirth, e.g., when struggling to suppress laughter; or due to being upset, e.g., when pouting or sulking",LX000116,,,,
SN000165,personal name,LX000117,,,,
SN000166,gums and portion of the jawbone in which the teeth are embedded; this term is often used to refer to places where the surfaces of the gums and jawbone are clearly visible due to the loss of teeth,LX000118,,Poss.pref,,
SN000167,full,LX000119,,,,
SN000168,"fill any container with any kind of substance, e.g., a pot with water, a hole with dirt, a canoe with cargo",LX000120,,,,
SN000169,"fill up, become full, speaking of vessel-like objects like pots, canoes, and even houses, e.g., with people",LX000121,,,,
SN000170,"treat someone using medicine, be it traditional plant-based medicine, or Western medicine, on the assumption that the injury of malady is ultimately physical in nature, in contrast with healing practices based on spiritual etiology and treatment (<paanáani>)",LX000122,,,,
SN000171,"medicine or remedy used to treat physical illnesses, but not those brought about via witchcraft or malignant spirits",LX000123,,,,
SN000172,medicine (plural),LX000124,,,,
SN000173,"bend or curve of a river, where a ‘curve’ is defined by Iquitos as the segment of river between one point of maximum curvature, and the next point of maximum curvature in the opposite direction (cf. common western understanding, which measures from one inflection point to the next); river bends of this type are a standard way of measuring travel distances on rivers",LX000125,,,,
SN000174,molar,LX000126,,Poss.pref,,
SN000175,be asymmetrical,LX000127,,,,
SN000176,have age-worn face,LX000127,,,,
SN000177,make a face,LX000127,,,,
SN000178,personal name,LX000128,,,,
SN000179,gums and jawbone,LX000129,,Poss.pref,,
SN000180,playful term for Green Acouchy,LX000130,,,,
SN000181,"‘maparate’, species of catfish that reaches some 40cm in length, with a shape and coloration very similar to the <[piruja](piruja)> (‘bocón’), but distinguished by having a large number of barbels around the mouth",LX000131,,,Hypophthalmus edentatus,
SN000182,"commit incest, have a sexual relationship with a person although the participants’ kinship relations forbid it, according to social norms. The term can jokingly be applied to non-incestuous sexual relations as well",LX000132,,The optional argument denoting the person with whom the subject has the incestuous relationship bears the commitative postpostion <=jata>,,
SN000183,"‘veranero’, ‘madre de la lluvia’, ‘buco golondrina’, or Swallow-winged Puffbird, species of bird that reaches some 15cm in length, and is mostly black except for a patch of white on its lower back and vent, and reddish brown feathering on its belly. It is noted for burrowing into sandy river banks and beaches in the dry season to make its nest",LX000133,,,Chelidoptera tenebrosa,
SN000184,cheek,LX000134,,Poss.pref,,
SN000185,"the operculum, or bony exterior covering of the gills of a fish",LX000134,,Poss.pref,,
SN000186,bearded one; affectionate vocative term used to address someone with noticeable facial hair,LX000135,,,,
SN000187,"the quality of having a significant quantity of either facial hair, speaking of a person, or whiskers, speaking of an animal",LX000136,,,,
SN000188,"facial hair, whether an entire beard or partial facial hair, such as a moustache",LX000137,,Poss.pref,,
SN000189,have facial hair,LX000138,,,,
SN000190,"‘murco’, very small but hard lumps that appear on hair, which reportedly form when hair is unable to dry for a long period of time",anaja,,,,
SN000191,smoke,anajaka,,,,
SN000192,steam,anajaka,,,,
SN000193,cloud or mist,anajaka,,,,
