ID,Language_ID,Headword,Part_Of_Speech,Derivational_Root,Irregular_Plural,Irregular_Possessed_Form,Literal_Meaning,Loanword_Source,Main_Entry,Middle_Form,Pronunciation,Root,Semantics_Note,Variant_Form
LX000090,iqu,amaniijuutáani,transitive verb,,,,,,,,,amaniijuúta,The object of this verb must denote a possessed body part to avoid the interpretation that the subject is striking the object against something else,
LX000091,iqu,amániikɨ́ɨni,transitive verb,,,,,,,,,amániikɨɨ,,
LX000092,iqu,amaniikúuni,transitive verb,,,,,,,,,amaniíkuu,,
LX000093,iqu,amaniikuutáani,transitive verb,,,,,,,,,amaniikuúta,,
LX000094,iqu,amaníini,transitive verb,,,,,,,,,amánii,,
LX000095,iqu,amaniiwɨɨtáani,intransitive verb,,,,,,,,,amaniiwɨɨ́ta,,
amari_1,iqu,amari,noun,,amariwa,,,,amariyaaja,,,amari,,
amari_2,iqu,amari,noun,,,,,,amarijina,,,amari,,
amarijina,iqu,amarijina,locative noun,,,amárijina,,,,,,amarijina,,personal variant (JPI): amariyaajina ; Free Variant: amari2
LX000096,iqu,amariníini,transitive verb,amaríni,,,,,,,,amariíni,,
LX000097,iqu,amarisiáaka,noun,,,,,,,,,amarisiáaka,,
amariyaaja,iqu,amariyaaja,noun,,amari,amáriyaaja,,,,,,amariyaaja,,
amariyaajina,iqu,amariyaajina,locative noun,,,,,,amarijina,,,amariyaajina,,
amariyaana,iqu,amariyaana,noun,,,,,,,,,amariyaana,,constructional variant: amáriyaana
LX000098,iqu,amáriyaana,noun,,,,,,amariyaana,,,amáriyaana,,
amariiki,iqu,amariiki,noun,,amariikiwa,amáriiki,,,,,,amariiki,,
LX000099,iqu,amáriinɨ́ɨni,intransitive verb,,,,,,,,,amáriinɨɨ,,
LX000100,iqu,=amásikaraata,postposition,,,,,,LX002043,,,amásikaraata,,
LX000101,iqu,amasíisi,noun,,,,,from Sp. ‘amasisa’,,,,amasíisi,,
LX000102,iqu,amátana,adverb,,,,,,,,,amátana,,
LX000103,iqu,amátanana,adjective,,,,,,,,,amátana,,
LX000104,iqu,amatáani,transitive verb,,,,,,,amatɨ́ɨni (middle),,amáta,,
LX000105,iqu,amatɨ́ɨni,intransitive verb,,,,,,,amatáani (active),,amátɨ,,
amaa,iqu,amaa,interjection,,,,,,,,,amaa,,
LX000106,iqu,ámaaja,noun,,ámaajawaaka,,,,,,,ámaaja,,
amaaka,iqu,amaaka,noun,,,ámaaka,,,,,,amaaka,,
LX000107,iqu,ámaana,noun,,,,,,,,,ámaana,,dialect variant: pájiiti
LX000108,iqu,amikaajúuni,transitive verb,,,,,from Sp. ‘amigar’,,,,amikaájuu,,
LX000109,iqu,aminákaka,noun,,,,,,LX000110,,,aminákaka,,
LX000110,iqu,aminákana,noun,,aminákaka,,,,,,,aminákana,,personal variant (HDC): minákana
LX000111,iqu,aminakíisi,noun,,aminakiísiwa,,,,,,,aminakíisi,,sociolinguistic variant: minakíisi
LX000112,iqu,amítatáani,transitive verb,,,,,,,,,amítata,,
LX000113,iqu,amitáani,transitive verb,,,,,,,,,amíta,,dialect variant: rikatáani
LX000114,iqu,amíini,transitive verb,,,,,,,,,ámi,,
LX000115,iqu,amɨríini,intransitive verb,,,,,,,,,amɨ́rii,,
LX000116,iqu,amɨriitáani,intransitive verb,,,,,,,,,amɨriíta,,dialect variant: amuriitáani
LX000117,iqu,Amɨriítaasi,proper noun,,,,,,LX003017,,,Amɨriítaasi,,
LX000118,iqu,ámɨsi,noun,,,,,,,,,ámɨsi,,personal variant (JPI): ámusi ; irregular 3rd person possessed form: námɨsi
LX000119,iqu,amɨ́yaja,adjective,,amɨ́yajaka,,,,,,,amɨ́yaja,,
LX000120,iqu,amɨ́yajáani,transitive verb,,,,,,,,,amɨ́yaja,,
LX000121,iqu,amɨ́yɨɨtáani,intransitive verb,,,,,,,,,amɨ́yɨɨta,,
LX000122,iqu,ampiisíini,transitive verb,,,,,from Q. ‘ampi’,,,,ampiísii,,
LX000123,iqu,ampiisiítaaja,noun,,ampiisiítaakami,,,,,,,ampiisiítaaja,,
LX000124,iqu,ampiisiítaakami,noun,,,,,,LX000123,,,ampiisiítaakami,,
LX000125,iqu,amúriija,noun,,,,,,,,,amúriija,,
LX000126,iqu,amúriija,noun,,,,,,,,,amúriija,,irregular 3rd person possessed form: namúriija
LX000127,iqu,amuriitáani,intransitive verb,,,,,,LX000116,,,amuriíta,,
LX000128,iqu,Amuriítaasi,proper noun,,,,,,LX003017,,,Amuriítaasi,,
LX000129,iqu,ámusi,noun,,,,,,LX000118,,,ámusi,,irregular 3rd person possessed form: námusi
LX000130,iqu,amúsiaaki,noun,,,,,,LX001938,,,amúsiaaki,,
LX000131,iqu,amúsitajáani,noun,,,,,,,,,amúsitajáani,,
LX000132,iqu,amusíini,intransitive verb,,,,,,,,,amúsi,,
LX000133,iqu,amúwɨɨja,noun,,,,,,,,,amúwɨɨja,,
LX000134,iqu,amúuku,noun,,,,,,,,,amúuku,,irregular 3rd person possessed form: namúuku
LX000135,iqu,amúusi,noun,,,,,,,,,amúusi,,
LX000136,iqu,amuúsitaka,adjective,,amuúsitakayuuri,,,,,,,amuúsitaka,,
LX000137,iqu,amuusíika,noun,,,ámuusíika,,,,,,amuusíika,,irregular 3rd person possessed form: námuusíika
LX000138,iqu,amuusíini,intransitive verb,,,,,,,,,amuúsii,,
anaja,iqu,anaja,noun,,,ánaja,,,,,,anaja,,
anajaka,iqu,anajaka,noun,,,anájaka,,,,,,anajaka,,
LX000139,iqu,anajásiija,noun,,,,,,,,,anajásiija,,
anajatina,iqu,anajatina,adjective,,,,,,,,,anajati,,
LX000140,iqu,anajɨ́ɨni,intransitive verb,,,,,,,,,anájɨɨ,,
LX000141,iqu,anajúuni,transitive verb,,,,,,,,,anájuu,,
LX000142,iqu,anajúuti,noun,,,,,,,,,anajúuti,,
LX000143,iqu,ánaka,noun,,,,,,,,,ánaka,,irregular 3rd person possessed form: nánaka
LX000144,iqu,anákaku,locative noun,,,,,,,,,anáka,,
LX000145,iqu,anákaku,noun,,anákakuka,,,,,,,anákaku,,irregular 3rd person possessed form: nanákaku
anakana,iqu,anakana,noun,,,anákana,,,,,,anakana,,
LX000146,iqu,anákatáani,transitive verb,,,,,,,,,anákata,,
LX000147,iqu,anakatijúuni,transitive verb,,,,,,,,,anakatíjuu,,
LX000148,iqu,anakátiija,noun,,,,,,,,,anakátiija,,
anakatu,iqu,anakatu,noun,,"anakatuwa, anakatuka",,,,,,,anakatu,,
LX000149,iqu,anákaaja,noun,,,,,,,,,anákaaja,,irregular 3rd person possessed form: nanákaaja
LX000150,iqu,anákuja,noun,,anákuka,,,,,,,anákuja,,irregular 3rd person possessed form: nanákuja
LX000151,iqu,anakújumɨ,noun,,anakujúmɨya,,,,,,,anakújumɨ,,sociolinguistic variant: nakújumɨ
LX000152,iqu,anakujúuni,transitive verb,,,,,,,,,anakújuu,,
LX000153,iqu,anákuka,noun,,,,,,LX000150,,,anákuka,,
LX000154,iqu,anakwáasa,noun,,,,,,,,,anakwáasa,,
anami,iqu,anami,adverb,,,,,,,,,anami,,
anana,iqu,anana,adjective,,,,,,,,,ana,,personal variant: ɨɨjɨɨ́tina
LX000155,iqu,ánani,noun,,anániwaaka,,,,,,,ánani,,irregular 3rd person possessed form: nánani
LX000156,iqu,anániisana,noun,,anániisanawaaka,,,,,,,anániisana,,irregular 3rd person possessed form: nanániisana
LX000157,iqu,ananɨ́ɨta,noun,,,,,,,,,ananɨ́ɨta,,
anapa,iqu,anapa,noun,,anapaa,ánapa,,,,,,anapa,,
LX000158,iqu,anapa anákaari,noun,,anapa anákaariwa,,macaw head,,,,,anapa anákaari,,
LX000159,iqu,anapa páasi,noun,,,,macaw ‘huasaco’,,,,,anapa páasi,,
LX000160,iqu,anapáwɨɨjɨɨka,adjective,,,,,,LX002093,,,anapáwɨɨjɨɨka,,
LX000161,iqu,anapaakákana,noun,,anapaakákiaakɨ,,macaw manioc,,,,,anapaakákana,,
LX000162,iqu,anapaakákiaakɨ,noun,,,,,,LX000161,,,anapaakákiaakɨ,,
LX000163,iqu,anápuuja,noun,,,,,,,,,anápuuja,,
anaraati,iqu,anaraati,noun,,,,,,,,,anaraati,,dialect variant: naraati
anari,iqu,anari,noun,,anariwa,ánari,,,,,,anari,,
LX000164,iqu,ánasa,adverb,,,,,,,,,ánasa,,
LX000165,iqu,ánasa iwíini,intransitive verb,,,,be painful,,,,,ánasa iíki,,
LX000166,iqu,ánasa míini,intransitive verb,,,,have pain,,,,,ánasa mii,,
LX000167,iqu,anásaka,noun,,,,,,,,,anásaka,,
LX000168,iqu,anásaka,noun,,,,pain,,,,,anásaka,,irregular 3rd person possessed form: nanásaka
LX000169,iqu,anásana,adjective,,,,,,,,,anása,,
LX000170,iqu,anásiiki,noun,,anásiikiwa,,,,,,,anásiiki,,
LX000171,iqu,anasiikíini,transitive verb,,,,,,,,,anasiíkii,,
LX000172,iqu,anasɨ́ɨni,intransitive verb,,,,,,,anasúuni (active),,anásɨɨ,,
LX000173,iqu,anasɨɨtɨ́ɨni,transitive verb,,,,,,,,,anasɨɨtɨɨ,,
LX000174,iqu,anasúuni,transitive verb,,,,,,,anasɨ́ɨni (middle),,anásuu,,
LX000175,iqu,anasúuni,noun,,anasúuwa,,,,,,,anasúuni,,
LX000176,iqu,anasúuwa,noun,,,,,,LX000175,,,anasúuwa,,
Anatimu,iqu,Anatimu,proper noun,,,,termite river,,,,,Anatimu,,
anatiija,iqu,anatiija,noun,,,,,,LX003405,,,anatiija,,
LX000177,iqu,ánaaja,noun,,ánaaka,,,,,,,ánaaja,"This term can be used to refer specifically to the trunk of a given tree or plant, in contrast to its other parts; or it can be used to refer to the tree or plant as a whole, in contrast to its fruit. For example, the term <[nɨsikati](LX002285)> (‘aguaje’) is ambiguous in whether it refers to the fruit in particular or the palm as a whole; in order to refer to the palm as a whole, the possessive construction <nɨsikati ánaaja> is used",irregular 3rd person possessed form: nánaaja
LX000178,iqu,ánaajiijáani,transitive verb,,,,,,LX000179,,,ánaajiíja,,
LX000179,iqu,anaajɨɨjáani,transitive verb,,,,,,,,,anaajɨɨja,,personal variant (ELY): ánaajiijáani
LX000180,iqu,ánaajɨ́ɨni,intransitive verb,,,,,,,,,ánaajɨ,,
LX000181,iqu,ánaaka,noun,,,,,,LX000177,,,ánaaka,,
LX000182,iqu,anáani,intransitive verb,,,,,,,,,ána,,
LX000183,iqu,ánaanɨ́ɨni,intransitive verb,,,,,,,,,ánaanɨɨ,,
LX000184,iqu,anaanɨɨtáani,intransitive verb,,,,,,,,,anaanɨɨ́ta,,
anaaraata,iqu,anaaraata,adverb,,,,,,,,,anaaraata,,
anaasi,iqu,anaasi,noun,,,ánaasi,,,,,,anaasi,,
LX000185,iqu,anaasi muriítaasi,noun,,,,,,,,,anaasi muriítaasi,,
anaawaaka,iqu,anaawaaka,pronoun,,,,,,,,,anaawaaka,,
ani_1,iqu,ani,noun,,aníwaaka,,,,,,,ani,,irregular 3rd person possessed form: nani
ani_2,iqu,ani,adjective,,,,,,,,,ani,,
LX000186,iqu,aniáasi,noun,,,,,,,,,aniáasi,,irregular 3rd person possessed form: naniáasi
anija_1,iqu,anija,noun,,,ánija,,,,,,anija,,irregular 3rd person possessed form: nánija
anija_2,iqu,anija,noun,,,,,,aniija,,,anija,,
LX000187,iqu,anijákwaa,adjective,,anijákwaapɨ (animate),,,,,,,anijákwaa,,
LX000188,iqu,anijikɨ́ɨni,intransitive verb,,,,,,,anijikúuni (active),,anijíkɨ,,
LX000189,iqu,anijikúuni,transitive verb,,,,,,,anijikɨ́ɨni (middle),,anijíkuu,,
LX000190,iqu,anikákwaa,noun,,,,,,,,,anikákwaa,,irregular 3rd person possessed form: nanikákwaa ; dialect variant: awítaka
LX000191,iqu,anímaa,interjection,,,,,,,,,anímaa,,
LX000192,iqu,animɨ,noun,,animɨya,ánimɨ,,,,,,animɨ,,irregular 3rd person possessed form: nánimɨ1
LX000193,iqu,ánimɨ,noun,,anímɨya,,,,,,,ánimɨ,,irregular 3rd person possessed form: nánimɨ2
LX000194,iqu,aniníiki,noun,,aniniíkiwa,,,,,,,aniníiki,,
LX000195,iqu,aniniíkiina,noun,,,,,,,,,aniniíkiina,,dialect variant: aniniíkiisi
LX000196,iqu,aniniíkiisi,noun,,,,,,LX000195,,,aniniíkiisi,,
LX000197,iqu,aníriti,noun,,aníritiwaaka,,,,,,,aníriti,,irregular 3rd person possessed form: naníriti ; Chambira dialect: aniriika
LX000198,iqu,anirítiisana,noun,,anirítiisanawaaka,,,,,,,anirítiisana,,irregular 3rd person possessed form: nanirítiisana
aniriika,iqu,aniriika,noun,,,,,,LX000197,,,aniriika,,
LX000199,iqu,aníriiti,noun,,,,,,,,,aníriiti,,
LX000200,iqu,anirúyaaka,noun,,,,,,,,,anirúyaaka,,
LX000201,iqu,anirúuni,transitive verb,,,,,,,,,aníruu,,
LX000202,iqu,anisíkina,noun,,,,,,,,,anisíkina,,dialect variant: nisíkina ; personal variant (HDC): inisíkini ; personal variant (ELY): anisíkini
LX000203,iqu,anisíkini,noun,,,,,,LX000202,,,anisíkini,,
LX000204,iqu,anísitáani,transitive verb,,,,,,LX000671,,,anísita,,
LX000205,iqu,anitáaki,noun,,"anitaákiwa, anitaákika",,,,,,,anitáaki,,
LX000206,iqu,anitáaki amákɨɨri,noun,,anitáaki amákɨɨriwa,,,,LX000209,,,anitáaki amákɨɨri,,
LX000207,iqu,anitáaki kajakáana,noun,,,,,,LX003160,,,anitáaki kajakáana,,
LX000208,iqu,anitáaki makwaati,noun,,,,white-lipped peccary anuran,,,,,anitáaki makwaati,,
LX000209,iqu,anitáaki masiiri,noun,,anitáaki masiiriwa,,,,,,,anitáaki masiiri,,Free Variant: anitáaki amákɨɨri
LX000210,iqu,anitáaki nɨɨsina,noun,,,,white-lipped peccary eagle,,,,,anitáaki nɨɨsina,,
LX000211,iqu,anitáaki sirúuku,noun,,,,,,LX002992,,,anitáaki sirúuku,"Speakers easily identify <sirúuku> in this compound as meaning ‘one who fishes with ‘barbasco’’, but they do not accept this as an independent word",
LX000212,iqu,anitáani,transitive verb,,,,,,,,,aníta,,
LX000213,iqu,anitáani,transitive verb,,,,,,,,,aníta,,
aniwa,iqu,aniwa,proclause,,,,,,,,,aniwa,,
aniwaasa,iqu,aniwaasa,adjective,,,,,,,,,aniwaasa,,
aniija,iqu,aniija,noun,,,ániija,,,,,,aniija,,personal variant (ELY): anija2 ; irregular 3rd person possessed form: nániija
LX000214,iqu,aniijúuni,intransitive verb,,,,,,,,,aniíjuu,,
LX000215,iqu,ániikitúuni,transitive verb,,,,,,,,,ániikítuu,,
LX000216,iqu,ániikíini,transitive verb,,,,,,,,,ániiki,,
LX000217,iqu,aniikiitúuni,transitive verb,,,,,,,,,aniikiítuu,,
LX000218,iqu,aníina,noun,,,,,,,,,aníina,,
LX000219,iqu,ániinaka,noun,,,,,,,,,ániinaka,,
LX000220,iqu,aníini,intransitive verb,,,,,,,,,áni,,
LX000221,iqu,aníini,transitive verb,,,,,,,,,áni,,
LX000222,iqu,aníini,intransitive verb,,,,,,,,,áni,,
LX000223,iqu,aniinúuni,transitive verb,,,,,,,,,aniínuu,,
aniita,iqu,aniita,adverb,,,,,,,,,aniita,,
LX000224,iqu,aniita asáana,noun,,aniita asáapɨ,,big eater,,,,,aniita asáana,,
LX000225,iqu,aniita marajákwaa,noun,,aniita marajákwaapɨ,,,,,,,aniita marajákwaa,,
LX000226,iqu,aniita marajákwaa aarɨwati,noun,,,,,,,,,aniita marajákwaa aarɨwati,,
aniita_namijana,iqu,aniita namijana,noun,,aniita namijapɨ,,big eyed,,,,,aniita namijana,,
LX000227,iqu,ániitaaja,noun,,,,,,,,,ániitaaja,,
LX000228,iqu,ániitáani,transitive verb,,,,,,,,,ániita,,
LX000229,iqu,ánɨɨja,noun,,ánɨɨya,,,,,,,ánɨɨja,,irregular 3rd person possessed form: nánɨɨja
LX000230,iqu,anɨɨjɨ́ɨni,intransitive verb,,,,,,,,,anɨɨjɨɨ,,sociolinguistic variant: nɨɨjɨ́ɨni
LX000231,iqu,anɨɨ́kujina,locative noun,,,,,,,,,anɨɨ́kujina,,
LX000232,iqu,anɨɨkúuni,ditransitive verb,,,,,,,,,anɨɨ́kuu,,
LX000233,iqu,anɨ́ɨni,ambitransitive verb,,,,,,,,,anɨɨ,,
LX000234,iqu,anɨɨ́taaja,noun,,anɨɨ́taakami,,,,,,,anɨɨ́taaja,,
LX000235,iqu,anɨɨtɨ́ɨni,transitive verb,,,,,,,,,anɨɨtɨɨ,,
LX000236,iqu,ánɨɨya,noun,,,,,,LX000229,,,ánɨɨya,,
anuna,iqu,anuna,noun,,,ánuna,,,,,,anuna,,
anuu,iqu,anuu,pronoun,,,,,,,,,anuu,,prepausal form: anúuja
LX000237,iqu,anúuja,pronoun,,,,,,anuu,,,anúuja,,
LX000238,iqu,=ánuura,postposition,,,,,,,,,ánuura,,
LX000239,iqu,anuúrika,pronoun,,,,,,,,,anuúrika,,
anuuti,iqu,anuuti,noun,,,ánuuti,,,,,,anuuti,,
LX000240,iqu,apájaati,noun,,,,,,LX002384,,,apájaati,,
LX000241,iqu,apáraakɨɨyáana,noun,,,,person who touches repeatedly,,,,,apáraakɨɨyáana,,
LX000242,iqu,aparáani,transitive verb,,,,,,,,,apára,,
LX000243,iqu,aparáani,transitive verb,,,,,,,,,apára,,
LX000244,iqu,apirakiitáani,intransitive verb,,,,,,,,,apirakiíta,,
LX000245,iqu,apiraajuutáani,transitive verb,,,,,,,,,apiraajuúta,,
